secret_word,starting_word,game_result,guess_num,guess_word,feedback,entropy_score,possibilities_before_guess,possibilities_after_filter
aback,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
aback,raise,3 guesses,2,clout,YBBBB,4.954906391519346,110,4
aback,raise,3 guesses,3,aback,GGGGG,2.0,4,1
abase,raise,2 guesses,1,raise,BYBGG,-1.0,2315,5
abase,raise,2 guesses,2,abase,GGGGG,1.9219280948873623,5,1
abate,raise,3 guesses,1,raise,BYBBG,-1.0,2315,35
abate,raise,3 guesses,2,blade,YBYBG,3.496104175266961,35,2
abate,raise,3 guesses,3,abate,GGGGG,1.0,2,1
abbey,raise,4 guesses,1,raise,BYBBY,-1.0,2315,75
abbey,raise,4 guesses,2,dealt,BYYBB,4.648214191242758,75,8
abbey,raise,4 guesses,3,apnea,GBBGB,2.75,8,1
abbey,raise,4 guesses,4,abbey,GGGGG,0.0,1,1
abbot,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
abbot,raise,3 guesses,2,clout,BBYBG,4.954906391519346,110,2
abbot,raise,3 guesses,3,abbot,GGGGG,1.0,2,1
abhor,raise,4 guesses,1,raise,YYBBB,-1.0,2315,84
abhor,raise,4 guesses,2,crowd,BYYBB,4.299124740447479,84,11
abhor,raise,4 guesses,3,molar,BYBYG,2.8453509366224368,11,1
abhor,raise,4 guesses,4,abhor,GGGGG,0.0,1,1
abide,raise,3 guesses,1,raise,BYGBG,-1.0,2315,5
abide,raise,3 guesses,2,alike,GBGBG,1.9219280948873623,5,2
abide,raise,3 guesses,3,abide,GGGGG,1.0,2,1
abled,raise,3 guesses,1,raise,BYBBY,-1.0,2315,75
abled,raise,3 guesses,2,dealt,YYYYB,4.648214191242758,75,2
abled,raise,3 guesses,3,abled,GGGGG,1.0,2,1
abode,raise,3 guesses,1,raise,BYBBG,-1.0,2315,35
abode,raise,3 guesses,2,blade,YBYGG,3.496104175266961,35,1
abode,raise,3 guesses,3,abode,GGGGG,0.0,1,1
abort,raise,4 guesses,1,raise,YYBBB,-1.0,2315,84
abort,raise,4 guesses,2,crowd,BYGBB,4.299124740447479,84,3
abort,raise,4 guesses,3,agora,GBGGB,1.5849625007211559,3,1
abort,raise,4 guesses,4,abort,GGGGG,0.0,1,1
about,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
about,raise,3 guesses,2,clout,BBGGG,4.954906391519346,110,1
about,raise,3 guesses,3,about,GGGGG,0.0,1,1
above,raise,4 guesses,1,raise,BYBBG,-1.0,2315,35
above,raise,4 guesses,2,blade,YBYBG,3.496104175266961,35,2
above,raise,4 guesses,3,abate,GGBBG,1.0,2,1
above,raise,4 guesses,4,above,GGGGG,0.0,1,1
abuse,raise,3 guesses,1,raise,BYBGG,-1.0,2315,5
abuse,raise,3 guesses,2,abase,GGBGG,1.9219280948873623,5,1
abuse,raise,3 guesses,3,abuse,GGGGG,0.0,1,1
abyss,raise,3 guesses,1,raise,BYBYB,-1.0,2315,58
abyss,raise,3 guesses,2,shalt,YBYBB,4.480837840284,58,3
abyss,raise,3 guesses,3,abyss,GGGGG,1.5849625007211559,3,1
acorn,raise,3 guesses,1,raise,YYBBB,-1.0,2315,84
acorn,raise,3 guesses,2,crowd,YYGBB,4.299124740447479,84,1
acorn,raise,3 guesses,3,acorn,GGGGG,0.0,1,1
acrid,raise,3 guesses,1,raise,YYYBB,-1.0,2315,18
acrid,raise,3 guesses,2,trail,BYYGB,3.350209029099897,18,1
acrid,raise,3 guesses,3,acrid,GGGGG,0.0,1,1
actor,raise,3 guesses,1,raise,YYBBB,-1.0,2315,84
actor,raise,3 guesses,2,crowd,YYYBB,4.299124740447479,84,1
actor,raise,3 guesses,3,actor,GGGGG,0.0,1,1
acute,raise,4 guesses,1,raise,BYBBG,-1.0,2315,35
acute,raise,4 guesses,2,blade,BBYBG,3.496104175266961,35,7
acute,raise,4 guesses,3,agate,GBBGG,2.521640636343318,7,1
acute,raise,4 guesses,4,acute,GGGGG,0.0,1,1
adage,raise,3 guesses,1,raise,BYBBG,-1.0,2315,35
adage,raise,3 guesses,2,blade,BBYYG,3.496104175266961,35,1
adage,raise,3 guesses,3,adage,GGGGG,0.0,1,1
adapt,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
adapt,raise,3 guesses,2,clout,BBBBG,4.954906391519346,110,1
adapt,raise,3 guesses,3,adapt,GGGGG,0.0,1,1
adept,raise,3 guesses,1,raise,BYBBY,-1.0,2315,75
adept,raise,3 guesses,2,dealt,YYYBG,4.648214191242758,75,1
adept,raise,3 guesses,3,adept,GGGGG,0.0,1,1
admin,raise,4 guesses,1,raise,BYYBB,-1.0,2315,38
admin,raise,4 guesses,2,tidal,BYYYB,4.023471592049353,38,3
admin,raise,4 guesses,3,aphid,GBBGY,1.5849625007211559,3,1
admin,raise,4 guesses,4,admin,GGGGG,0.0,1,1
admit,raise,3 guesses,1,raise,BYYBB,-1.0,2315,38
admit,raise,3 guesses,2,tidal,YYYYB,4.023471592049353,38,1
admit,raise,3 guesses,3,admit,GGGGG,0.0,1,1
adobe,raise,3 guesses,1,raise,BYBBG,-1.0,2315,35
adobe,raise,3 guesses,2,blade,YBYYG,3.496104175266961,35,1
adobe,raise,3 guesses,3,adobe,GGGGG,0.0,1,1
adopt,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
adopt,raise,3 guesses,2,clout,BBGBG,4.954906391519346,110,1
adopt,raise,3 guesses,3,adopt,GGGGG,0.0,1,1
adore,raise,3 guesses,1,raise,YYBBG,-1.0,2315,25
adore,raise,3 guesses,2,grace,BYYBG,2.8888840705376353,25,3
adore,raise,3 guesses,3,adore,GGGGG,1.5849625007211559,3,1
adorn,raise,3 guesses,1,raise,YYBBB,-1.0,2315,84
adorn,raise,3 guesses,2,crowd,BYGBY,4.299124740447479,84,1
adorn,raise,3 guesses,3,adorn,GGGGG,0.0,1,1
adult,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
adult,raise,3 guesses,2,clout,BYBYG,4.954906391519346,110,1
adult,raise,3 guesses,3,adult,GGGGG,0.0,1,1
affix,raise,4 guesses,1,raise,BYYBB,-1.0,2315,38
affix,raise,4 guesses,2,tidal,BYBYB,4.023471592049353,38,6
affix,raise,4 guesses,3,again,GBBGB,2.584962500721156,6,1
affix,raise,4 guesses,4,affix,GGGGG,0.0,1,1
afire,raise,2 guesses,1,raise,YYGBG,-1.0,2315,1
afire,raise,2 guesses,2,afire,GGGGG,0.0,1,1
afoot,raise,4 guesses,1,raise,BYBBB,-1.0,2315,110
afoot,raise,4 guesses,2,clout,BBYBG,4.954906391519346,110,2
afoot,raise,4 guesses,3,abbot,GBBYG,1.0,2,1
afoot,raise,4 guesses,4,afoot,GGGGG,0.0,1,1
afoul,raise,3 guesses,1,raise,BYBBB,-1.0,2315,110
afoul,raise,3 guesses,2,clout,BYGGB,4.954906391519346,110,1
afoul,raise,3 guesses,3,afoul,GGGGG,0.0,1,1
after,raise,3 guesses,1,raise,YYBBY,-1.0,2315,37
