secret_word,game_result,guess_num,guess_word,feedback,entropy_score,possibilities_before_guess,possibilities_after_filter
aback,3 guesses,1,raise,BYBBB,-1.0,2315,110
aback,3 guesses,2,clout,YBBBB,4.954906391519346,110,4
aback,3 guesses,3,aback,GGGGG,2.0,4,1
abase,3 guesses,1,raise,BYBGG,-1.0,2315,5
abase,3 guesses,2,aback,GGGBB,2.321928094887362,5,1
abase,3 guesses,3,abase,GGGGG,0.0,1,1
abate,4 guesses,1,raise,BYBBG,-1.0,2315,35
abate,4 guesses,2,bland,YBYBB,3.932874360347045,35,2
abate,4 guesses,3,aback,GGGBB,1.0,2,1
abate,4 guesses,4,abate,GGGGG,0.0,1,1
abbey,4 guesses,1,raise,BYBBY,-1.0,2315,75
abbey,4 guesses,2,dealt,BYYBB,4.648214191242758,75,8
abbey,4 guesses,3,amend,GBYBB,3.0,8,1
abbey,4 guesses,4,abbey,GGGGG,0.0,1,1
abbot,4 guesses,1,raise,BYBBB,-1.0,2315,110
abbot,4 guesses,2,clout,BBYBG,4.954906391519346,110,2
abbot,4 guesses,3,aback,GYBBB,1.0,2,1
abbot,4 guesses,4,abbot,GGGGG,0.0,1,1
abhor,4 guesses,1,raise,YYBBB,-1.0,2315,84
abhor,4 guesses,2,crowd,BYYBB,4.299124740447479,84,11
abhor,4 guesses,3,motor,BBBGG,3.095795255000934,11,1
abhor,4 guesses,4,abhor,GGGGG,0.0,1,1
abide,3 guesses,1,raise,BYGBG,-1.0,2315,5
abide,3 guesses,2,ankle,GBBBG,2.321928094887362,5,1
abide,3 guesses,3,abide,GGGGG,0.0,1,1
abled,4 guesses,1,raise,BYBBY,-1.0,2315,75
abled,4 guesses,2,dealt,YYYYB,4.648214191242758,75,2
abled,4 guesses,3,aback,GGBBB,1.0,2,1
abled,4 guesses,4,abled,GGGGG,0.0,1,1
abode,4 guesses,1,raise,BYBBG,-1.0,2315,35
abode,4 guesses,2,bland,YBYBY,3.932874360347045,35,2
abode,4 guesses,3,aback,GGBBB,1.0,2,1
abode,4 guesses,4,abode,GGGGG,0.0,1,1
abort,4 guesses,1,raise,YYBBB,-1.0,2315,84
abort,4 guesses,2,crowd,BYGBB,4.299124740447479,84,3
abort,4 guesses,3,abled,GGBBB,1.5849625007211559,3,1
abort,4 guesses,4,abort,GGGGG,0.0,1,1
about,3 guesses,1,raise,BYBBB,-1.0,2315,110
about,3 guesses,2,clout,BBGGG,4.954906391519346,110,1
about,3 guesses,3,about,GGGGG,0.0,1,1
above,4 guesses,1,raise,BYBBG,-1.0,2315,35
above,4 guesses,2,bland,YBYBB,3.932874360347045,35,2
above,4 guesses,3,aback,GGBBB,1.0,2,1
above,4 guesses,4,above,GGGGG,0.0,1,1
abuse,3 guesses,1,raise,BYBGG,-1.0,2315,5
abuse,3 guesses,2,aback,GGBBB,2.321928094887362,5,1
abuse,3 guesses,3,abuse,GGGGG,0.0,1,1
abyss,4 guesses,1,raise,BYBYB,-1.0,2315,58
abyss,4 guesses,2,shalt,YBYBB,4.480837840284,58,3
abyss,4 guesses,3,aback,GGBBB,1.5849625007211559,3,1
abyss,4 guesses,4,abyss,GGGGG,0.0,1,1
acorn,3 guesses,1,raise,YYBBB,-1.0,2315,84
acorn,3 guesses,2,crowd,YYGBB,4.299124740447479,84,1
acorn,3 guesses,3,acorn,GGGGG,0.0,1,1
acrid,3 guesses,1,raise,YYYBB,-1.0,2315,18
acrid,3 guesses,2,gland,BBYBG,3.572431251322119,18,1
acrid,3 guesses,3,acrid,GGGGG,0.0,1,1
actor,3 guesses,1,raise,YYBBB,-1.0,2315,84
actor,3 guesses,2,crowd,YYYBB,4.299124740447479,84,1
actor,3 guesses,3,actor,GGGGG,0.0,1,1
acute,4 guesses,1,raise,BYBBG,-1.0,2315,35
acute,4 guesses,2,bland,BBYBB,3.932874360347045,35,6
acute,4 guesses,3,adapt,GBBBY,2.2516291673878226,6,1
acute,4 guesses,4,acute,GGGGG,0.0,1,1
adage,3 guesses,1,raise,BYBBG,-1.0,2315,35
adage,3 guesses,2,bland,BBYBY,3.932874360347045,35,1
adage,3 guesses,3,adage,GGGGG,0.0,1,1
adapt,3 guesses,1,raise,BYBBB,-1.0,2315,110
adapt,3 guesses,2,clout,BBBBG,4.954906391519346,110,1
adapt,3 guesses,3,adapt,GGGGG,0.0,1,1
adept,3 guesses,1,raise,BYBBY,-1.0,2315,75
adept,3 guesses,2,dealt,YYYBG,4.648214191242758,75,1
adept,3 guesses,3,adept,GGGGG,0.0,1,1
admin,4 guesses,1,raise,BYYBB,-1.0,2315,38
admin,4 guesses,2,until,BYBGB,4.113206053476118,38,4
